run,model_as,phi,top_category,top_conf,det_conf,focal_site,pollinator,plant,Y,O_l,n,R,camera,det_category,recurrent,locally unique,possibly missing,phantom,model-elusive,weakly-supported,locally absent,possibly forbidden
A-uniform,evidence,0.9554312858604137,weakly-supported,0.42618075450654247,0.42618075450654247,Dune system 1,Dasytes nigroaeneus,Asteriscus aquaticus,0,1,0,2,0,weakly-supported,0.09409524592844445,0.16239844748952156,0.0071251313390903025,0.01229722348042042,0.24693328985088112,0.42618075450654247,0.018698416745933772,0.03227149065916593
A-uniform,evidence,0.9007013965206043,possibly missing,0.46146584233383936,0.46146584233383936,Dune system 1,Dasytes nigroaeneus,Cakile maritima,1,0,1,1,0,possibly missing,0.16500787451872923,0.025709709698094,0.46146584233383936,0.07190052521186065,0.06287712986104829,0.009796821879512314,0.17584401822938114,0.027398078267535007
A-uniform,evidence,0.8282137263784022,possibly missing,0.4089786836832153,0.4089786836832153,Dune system 1,Dasytes nigroaeneus,Daucus carota,1,0,1,2,0,possibly missing,0.14623986680516737,0.04447771741165583,0.4089786836832153,0.12438768386248468,0.05572548051291467,0.016948471227645926,0.15584350673780295,0.04739858975911317
A-uniform,evidence,0.5704496276223537,phantom,0.3110305311122695,0.3110305311122695,Dune system 1,Dasytes nigroaeneus,Limonium sp.,1,0,0,1,1,phantom,0.07950136377089319,0.11121622044593003,0.22233583643343052,0.3110305311122695,0.03029441830296105,0.04237953343759956,0.08472225523153938,0.11851984126537675
A-uniform,evidence,0.5704496276223537,possibly forbidden,0.3110305311122695,0.3110305311122695,Dune system 1,Dasytes nigroaeneus,Salvia rosmarinus,0,0,0,1,0,possibly forbidden,0.03029441830296105,0.04237953343759956,0.08472225523153938,0.11851984126537675,0.07950136377089319,0.11121622044593003,0.22233583643343052,0.3110305311122695
A-uniform,evidence,0.9554312858604137,weakly-supported,0.42618075450654247,0.42618075450654247,Dune system 1,Dasytes nigroaeneus,Sedum sediforme,0,1,0,2,0,weakly-supported,0.09409524592844445,0.16239844748952156,0.0071251313390903025,0.01229722348042042,0.24693328985088112,0.42618075450654247,0.018698416745933772,0.03227149065916593
A-uniform,evidence,0.7605793204915037,locally absent,0.36000569579351943,0.36000569579351943,Dune system 1,Dasytes nigroaeneus,Teucrium capitatum,0,0,1,3,0,locally absent,0.04905265527486315,0.023621296465697463,0.13718208874060042,0.06606000775631572,0.12872843280684304,0.06198915140998019,0.36000569579351943,0.17336067175218056
A-uniform,evidence,0.9989476654751654,recurrent,0.6630512743079521,0.6630512743079521,Dune system 1,Lasioglossum sp.,Asteriscus aquaticus,1,1,2,2,0,recurrent,0.6630512743079521,0.01006277004947153,0.050207928863781344,7.619785413183644e-4,0.25265922126924034,0.0038344721487256783,0.019131998835994497,2.9035598351622187e-4
A-uniform,evidence,0.9905107615838435,recurrent,0.5823748146990563,0.5823748146990563,Dune system 1,Lasioglossum sp.,Cakile maritima,1,1,1,1,1,recurrent,0.5823748146990563,0.0907392296583673,0.04409890215351236,0.00687100525158735,0.22191702643548786,0.03457666698247817,0.016804121654941565,0.002618233164569156
A-uniform,evidence,0.9989476654751654,recurrent,0.6630512743079521,0.6630512743079521,Dune system 1,Lasioglossum sp.,Daucus carota,1,1,2,2,1,recurrent,0.6630512743079521,0.01006277004947153,0.050207928863781344,7.619785413183644e-4,0.25265922126924034,0.0038344721487256783,0.019131998835994497,2.9035598351622187e-4
A-uniform,evidence,0.9905107615838435,recurrent,0.5823748146990563,0.5823748146990563,Dune system 1,Lasioglossum sp.,Limonium sp.,1,1,1,1,1,recurrent,0.5823748146990563,0.0907392296583673,0.04409890215351236,0.00687100525158735,0.22191702643548786,0.03457666698247817,0.016804121654941565,0.002618233164569156
A-uniform,evidence,0.9007013965206043,possibly missing,0.46146584233383936,0.46146584233383936,Dune system 1,Lasioglossum sp.,Salvia rosmarinus,1,0,1,1,1,possibly missing,0.16500787451872923,0.025709709698094,0.46146584233383936,0.07190052521186065,0.06287712986104829,0.009796821879512314,0.17584401822938114,0.027398078267535007
A-uniform,evidence,0.9989476654751654,recurrent,0.6630512743079521,0.6630512743079521,Dune system 1,Lasioglossum sp.,Sedum sediforme,1,1,2,2,1,recurrent,0.6630512743079521,0.01006277004947153,0.050207928863781344,7.619785413183644e-4,0.25265922126924034,0.0038344721487256783,0.019131998835994497,2.9035598351622187e-4
A-uniform,evidence,0.9999140591339856,recurrent,0.6722922494318113,0.6722922494318113,Dune system 1,Lasioglossum sp.,Teucrium capitatum,1,1,3,3,1,recurrent,0.6722922494318113,8.217949256122077e-4,0.05090767900321809,6.222840188161805e-5,0.2561805440824717,3.131493354943146e-4,0.019398642355377912,2.371246413280648e-5
A-uniform,evidence,0.9554312858604137,weakly-supported,0.42618075450654247,0.42618075450654247,Dune system 1,Pyrellia vivida,Asteriscus aquaticus,0,1,0,2,0,weakly-supported,0.09409524592844445,0.16239844748952156,0.0071251313390903025,0.01229722348042042,0.24693328985088112,0.42618075450654247,0.018698416745933772,0.03227149065916593
A-uniform,evidence,0.9905107615838435,model-elusive,0.5823748146990563,0.5823748146990563,Dune system 1,Pyrellia vivida,Cakile maritima,0,1,1,1,0,model-elusive,0.22191702643548786,0.03457666698247817,0.016804121654941565,0.002618233164569156,0.5823748146990563,0.0907392296583673,0.04409890215351236,0.00687100525158735
A-uniform,evidence,0.9989476654751654,recurrent,0.6630512743079521,0.6630512743079521,Dune system 1,Pyrellia vivida,Daucus carota,1,1,2,2,1,recurrent,0.6630512743079521,0.01006277004947153,0.050207928863781344,7.619785413183644e-4,0.25265922126924034,0.0038344721487256783,0.019131998835994497,2.9035598351622187e-4
A-uniform,evidence,0.5704496276223537,phantom,0.3110305311122695,0.3110305311122695,Dune system 1,Pyrellia vivida,Limonium sp.,1,0,0,1,0,phantom,0.07950136377089319,0.11121622044593003,0.22233583643343052,0.3110305311122695,0.03029441830296105,0.04237953343759956,0.08472225523153938,0.11851984126537675
A-uniform,evidence,0.5704496276223537,possibly forbidden,0.3110305311122695,0.3110305311122695,Dune system 1,Pyrellia vivida,Salvia rosmarinus,0,0,0,1,0,possibly forbidden,0.03029441830296105,0.04237953343759956,0.08472225523153938,0.11851984126537675,0.07950136377089319,0.11121622044593003,0.22233583643343052,0.3110305311122695
A-uniform,evidence,0.5336178859835354,possibly forbidden,0.3376998041484014,0.3376998041484014,Dune system 1,Pyrellia vivida,Sedum sediforme,0,0,0,2,1,possibly forbidden,0.02666059063868184,0.046013361101878765,0.07455978662885293,0.12868230986806323,0.0699651431995162,0.12075244101730702,0.19566656339729868,0.3376998041484014
A-uniform,evidence,0.7605793204915037,locally absent,0.36000569579351943,0.36000569579351943,Dune system 1,Pyrellia vivida,Teucrium capitatum,0,0,1,3,0,locally absent,0.04905265527486315,0.023621296465697463,0.13718208874060042,0.06606000775631572,0.12872843280684304,0.06198915140998019,0.36000569579351943,0.17336067175218056
A-uniform,evidence,0.9554312858604137,weakly-supported,0.42618075450654247,0.42618075450654247,Dune system 1,Tapinoma nigerrinum,Asteriscus aquaticus,0,1,0,2,0,weakly-supported,0.09409524592844445,0.16239844748952156,0.0071251313390903025,0.01229722348042042,0.24693328985088112,0.42618075450654247,0.018698416745933772,0.03227149065916593
A-uniform,evidence,0.9905107615838435,model-elusive,0.5823748146990563,0.5823748146990563,Dune system 1,Tapinoma nigerrinum,Cakile maritima,0,1,1,1,0,model-elusive,0.22191702643548786,0.03457666698247817,0.016804121654941565,0.002618233164569156,0.5823748146990563,0.0907392296583673,0.04409890215351236,0.00687100525158735
A-uniform,evidence,0.5704496276223537,phantom,0.3110305311122695,0.3110305311122695,Dune system 1,Tapinoma nigerrinum,Daucus carota,1,0,0,1,0,phantom,0.07950136377089319,0.11121622044593003,0.22233583643343052,0.3110305311122695,0.03029441830296105,0.04237953343759956,0.08472225523153938,0.11851984126537675
A-uniform,evidence,0.5704496276223537,phantom,0.3110305311122695,0.3110305311122695,Dune system 1,Tapinoma nigerrinum,Limonium sp.,1,0,0,1,0,phantom,0.07950136377089319,0.11121622044593003,0.22233583643343052,0.3110305311122695,0.03029441830296105,0.04237953343759956,0.08472225523153938,0.11851984126537675
A-uniform,evidence,0.6316957679786919,locally absent,0.26668318377285,0.26668318377285,Dune system 1,Tapinoma nigerrinum,Salvia rosmarinus,0,0,0,0,0,possibly forbidden,0.0363369758702803,0.0363369758702803,0.10162104824845807,0.10162104824845807,0.0953587921084116,0.0953587921084116,0.26668318377285,0.26668318377285
A-uniform,evidence,0.5704496276223537,possibly forbidden,0.3110305311122695,0.3110305311122695,Dune system 1,Tapinoma nigerrinum,Sedum sediforme,0,0,0,1,0,possibly forbidden,0.03029441830296105,0.04237953343759956,0.08472225523153938,0.11851984126537675,0.07950136377089319,0.11121622044593003,0.22233583643343052,0.3110305311122695
A-uniform,evidence,0.8282137263784022,locally absent,0.4089786836832153,0.4089786836832153,Dune system 1,Tapinoma nigerrinum,Teucrium capitatum,0,0,1,2,1,locally absent,0.05572548051291467,0.016948471227645926,0.15584350673780295,0.04739858975911317,0.14623986680516737,0.04447771741165583,0.4089786836832153,0.12438768386248468
A-uniform,evidence,0.9648038688876948,model-elusive,0.3365570221787118,0.3365570221787118,Dune system 1,Unknown insect,Asteriscus aquaticus,0,1,0,0,0,weakly-supported,0.128246846708983,0.128246846708983,0.009711177409755361,0.009711177409755361,0.3365570221787118,0.3365570221787118,0.025484953702549856,0.025484953702549856
A-uniform,evidence,0.6316957679786919,locally absent,0.26668318377285,0.26668318377285,Dune system 1,Unknown insect,Cakile maritima,0,0,0,0,0,possibly forbidden,0.0363369758702803,0.0363369758702803,0.10162104824845807,0.10162104824845807,0.0953587921084116,0.0953587921084116,0.26668318377285,0.26668318377285
A-uniform,evidence,0.9007013965206043,possibly missing,0.46146584233383936,0.46146584233383936,Dune system 1,Unknown insect,Daucus carota,1,0,1,1,1,possibly missing,0.16500787451872923,0.025709709698094,0.46146584233383936,0.07190052521186065,0.06287712986104829,0.009796821879512314,0.17584401822938114,0.027398078267535007
A-uniform,evidence,0.6316957679786919,locally absent,0.26668318377285,0.26668318377285,Dune system 1,Unknown insect,Limonium sp.,0,0,0,0,0,possibly forbidden,0.0363369758702803,0.0363369758702803,0.10162104824845807,0.10162104824845807,0.0953587921084116,0.0953587921084116,0.26668318377285,0.26668318377285
A-uniform,evidence,0.5704496276223537,possibly forbidden,0.3110305311122695,0.3110305311122695,Dune system 1,Unknown insect,Salvia rosmarinus,0,0,0,1,0,possibly forbidden,0.03029441830296105,0.04237953343759956,0.08472225523153938,0.11851984126537675,0.07950136377089319,0.11121622044593003,0.22233583643343052,0.3110305311122695
A-uniform,evidence,0.5704496276223537,possibly forbidden,0.3110305311122695,0.3110305311122695,Dune system 1,Unknown insect,Sedum sediforme,0,0,0,1,0,possibly forbidden,0.03029441830296105,0.04237953343759956,0.08472225523153938,0.11851984126537675,0.07950136377089319,0.11121622044593003,0.22233583643343052,0.3110305311122695
